Year,Gender,Alcohol Abuse,Tobacco Prevalence,GDP per Capita,Doctors,Nurses and Midwifes,Air Pollution Death Rate Total,Universal Heath Care Coverage,Birth Rate,Government Expenditure Health,Vegetable Consumption,Fruit Consumption Apples,Diet Calories Fat,Diet Calories Carbohydrates,Basic Drinking Water Services,Clean Fuel and Technology,Total Population,Death Rate,Life Expectancy
2014,Male,9.56,8.07,11679.44,1.71,12.48,15.04,33.0,26.43,6.42,230.86,56.27,27.17,50.16,61.02,77.75,55133505.0,6.19,88.0
2010,Female,10.16,29.17,32851.88,7.06,6.49,9.93,44.25,44.53,7.93,90.45,148.13,38.36,46.94,85.25,90.92,17785082.0,3.47,88.0
2011,Male,7.0,44.46,21873.23,1.35,5.88,78.25,33.69,16.7,10.33,215.04,151.19,33.01,49.23,76.15,63.28,72115368.0,10.37,88.0
2011,Female,17.51,31.88,9617.0,0.35,9.16,22.25,74.17,8.72,11.93,130.88,67.24,38.43,56.06,62.99,60.27,67096720.0,7.89,88.0
2020,Female,13.73,33.43,38793.51,4.11,7.51,65.37,21.98,12.12,5.23,258.62,23.86,32.63,62.28,81.47,46.6,72432957.0,10.05,88.0
2020,Both,7.9,44.38,13089.97,6.93,14.68,6.62,32.81,17.05,11.02,58.48,88.99,41.92,56.24,90.79,68.14,60628562.0,4.42,88.0
2019,Male,4.8,32.12,44617.88,2.74,8.23,94.69,92.21,34.86,10.06,190.71,47.2,26.11,56.15,81.5,71.52,13275945.0,6.05,88.0
2016,Both,5.51,6.61,13391.51,1.2,6.39,108.45,99.8,36.71,2.68,65.68,150.97,42.87,60.42,78.83,59.39,28908290.0,8.18,88.0
2020,Female,9.42,39.68,54490.74,7.86,6.53,101.47,59.01,28.92,5.34,149.15,61.78,30.37,44.13,93.15,40.18,56743625.0,6.25,88.0
2012,Male,17.08,19.59,15286.93,5.48,8.67,115.21,59.63,17.44,4.19,54.67,170.99,25.85,47.53,55.48,49.12,25933671.0,10.17,88.0
2022,Both,13.75,5.17,67304.35,6.84,5.97,108.86,81.87,27.3,8.64,190.73,175.49,36.25,41.26,82.75,31.0,56831631.0,2.0,88.0
2017,Both,5.44,25.29,2744.73,6.07,11.12,56.06,22.9,8.55,7.55,280.1,165.41,29.49,48.74,73.44,52.34,26959082.0,8.54,88.0
2023,Male,15.75,42.48,39532.21,5.65,6.33,50.81,54.16,33.23,6.95,80.07,115.94,34.18,64.97,63.71,70.65,14300583.0,6.35,88.0
2012,Both,8.05,15.29,24551.77,3.2,6.38,108.06,27.99,30.73,9.64,270.57,62.79,41.05,48.23,99.08,96.9,41501289.0,8.93,88.0
2016,Female,15.63,24.66,17500.68,2.73,9.64,111.6,52.07,8.81,5.33,225.26,149.16,40.83,61.49,73.17,42.45,54929598.0,11.14,88.0
2019,Female,5.87,11.95,35792.93,5.79,1.85,116.88,98.71,38.23,5.83,201.38,132.26,37.01,42.14,70.09,33.88,41423935.0,5.73,88.0
2016,Both,11.9,7.31,63277.85,5.79,10.17,93.36,80.29,36.25,10.66,229.84,176.35,44.56,51.49,62.61,50.74,51385197.0,2.74,88.0
2016,Female,16.83,8.22,68713.57,7.61,8.07,28.23,98.8,19.4,11.72,150.77,80.36,34.28,48.79,99.9,40.98,35100276.0,2.0,88.0
2012,Both,6.13,34.08,23301.05,4.64,7.34,113.67,79.68,31.51,9.76,263.1,29.4,25.79,45.04,93.52,78.69,62288673.0,7.34,88.0
2015,Male,13.09,39.56,12244.88,2.5,11.07,113.92,68.65,30.26,4.17,283.9,179.74,41.39,49.31,58.15,30.4,52032317.0,11.26,88.0
2013,Both,17.8,10.73,54234.42,4.02,11.62,81.61,80.34,13.3,3.13,283.47,154.12,29.43,56.28,80.46,98.66,46011070.0,4.92,88.0
2014,Female,4.41,16.53,43984.31,4.99,12.85,103.59,72.73,15.15,4.09,130.84,55.44,28.52,52.26,61.63,89.9,34886200.0,6.98,88.0
2019,Male,3.41,12.8,15715.4,3.53,6.25,69.54,57.13,33.28,6.23,246.17,136.1,26.4,61.11,87.21,64.35,42904632.0,4.6,88.0
2018,Female,12.79,6.07,57213.95,6.37,5.58,113.57,43.4,42.54,4.37,94.43,20.11,31.56,62.62,76.78,94.47,4175677.0,3.52,88.0
2018,Male,7.44,27.14,39304.64,4.76,11.0,15.8,61.61,29.32,11.01,198.63,109.25,31.52,52.05,59.97,73.96,53370902.0,2.78,88.0
2015,Male,3.14,33.0,49281.92,0.27,9.15,104.36,40.68,29.01,8.71,50.79,78.05,31.06,64.54,80.07,99.56,16432497.0,7.3,88.0
2023,Male,9.6,30.92,27462.96,4.64,9.85,11.38,58.93,31.93,6.17,108.08,81.01,36.86,41.8,95.98,49.48,68825902.0,5.01,88.0
2011,Male,14.06,20.52,33381.04,5.14,8.78,44.0,31.69,24.3,4.74,239.52,59.12,40.03,46.91,70.35,99.78,65006267.0,5.67,88.0
2014,Male,6.56,27.2,14181.38,7.34,11.82,20.56,65.23,10.0,5.81,312.31,63.98,43.76,50.42,57.29,42.62,42283578.0,5.84,88.0
2011,Male,7.36,8.76,56933.48,3.43,3.66,60.1,39.62,22.67,6.76,64.71,92.75,26.88,54.57,97.53,54.74,67785772.0,2.25,88.0
2014,Both,15.53,11.17,12450.24,4.68,8.78,31.71,43.49,41.31,9.14,217.57,59.7,28.01,53.65,61.38,95.47,53697179.0,5.46,88.0
2023,Both,10.32,42.27,58550.05,3.9,3.21,114.49,59.92,37.78,2.89,241.03,94.63,36.8,54.2,76.38,55.94,11386678.0,8.83,88.0
2015,Both,15.48,35.46,60012.18,4.35,6.7,69.32,33.0,42.31,10.49,329.72,112.38,26.96,62.41,79.51,44.69,59287743.0,6.06,88.0
2022,Male,9.14,41.91,56197.79,0.72,10.3,108.24,96.99,13.65,3.28,246.54,133.78,32.42,46.94,65.67,34.16,79664937.0,7.3,88.0
2016,Both,17.25,41.67,2241.17,7.2,7.9,36.98,55.76,26.72,4.62,80.91,128.34,37.49,60.42,62.98,40.43,3374087.0,10.18,88.0
2019,Female,12.41,30.98,21066.48,7.3,6.31,7.99,48.18,29.63,11.94,94.02,58.72,40.61,53.95,60.09,54.87,19669063.0,4.39,88.0
2016,Male,3.85,42.13,35550.66,4.47,13.39,94.2,22.34,15.77,3.9,240.73,26.27,29.35,52.26,58.15,59.49,47859486.0,11.39,88.0
2013,Male,16.16,21.67,44989.39,4.54,11.82,85.77,87.46,15.44,3.01,114.69,153.23,38.36,47.49,77.87,67.97,33274037.0,5.51,88.0
2020,Female,9.83,5.14,69006.28,0.65,8.37,67.73,70.07,36.94,8.38,328.49,159.57,37.92,47.6,92.89,86.95,51040741.0,2.0,88.0
2023,Male,4.27,7.5,28669.96,4.86,14.3,98.76,53.31,32.86,5.93,326.21,176.62,42.19,49.71,60.7,30.94,46953706.0,5.63,88.0
2013,Female,4.44,9.38,65726.73,3.55,6.94,101.61,39.64,31.95,2.92,334.6,173.55,31.27,59.09,86.53,88.88,63060358.0,2.0,88.0
2020,Both,13.0,8.81,12926.45,5.73,12.03,72.61,79.61,17.88,2.04,137.89,121.41,40.0,51.92,73.57,70.41,5765143.0,3.56,88.0
2013,Male,2.76,19.07,28349.01,0.57,3.35,116.08,95.64,26.75,2.79,265.08,163.08,40.04,43.85,56.59,82.95,35305224.0,9.07,88.0
2020,Male,6.59,33.05,4679.33,5.74,5.0,87.77,50.46,8.85,7.23,248.9,91.68,29.78,59.0,79.12,82.99,68818298.0,10.57,88.0
2021,Both,4.24,36.63,55892.71,2.44,5.73,82.84,30.79,12.81,4.31,60.68,145.97,37.42,56.58,66.34,93.22,29084676.0,8.05,88.0
2016,Female,9.06,28.61,11978.43,5.28,2.48,46.56,28.74,27.18,9.78,129.67,172.85,38.5,63.73,82.24,36.54,40352726.0,7.92,88.0
2020,Male,8.63,10.86,19870.89,5.09,8.03,5.26,20.51,19.46,10.58,112.03,147.4,30.49,53.24,70.72,70.01,1824132.0,3.25,88.0
2013,Both,10.35,34.92,58322.31,1.97,3.69,32.71,79.52,43.73,3.45,161.24,86.52,34.04,56.36,84.99,93.63,18011494.0,4.82,88.0
2011,Both,6.47,19.19,40475.98,3.64,9.88,92.85,98.51,25.44,5.37,335.92,80.44,33.72,51.98,96.33,80.34,37146044.0,5.35,88.0
2011,Female,2.51,5.52,1836.78,6.72,3.66,86.64,99.43,11.09,3.47,303.68,66.65,40.47,57.02,66.0,36.76,31977553.0,7.76,88.0
2016,Female,11.83,16.22,965.85,4.92,2.73,43.07,82.74,8.66,4.87,138.03,78.73,25.01,50.9,97.29,72.98,57200925.0,6.41,88.0
2022,Male,7.98,18.22,38691.02,0.74,14.57,76.94,32.97,34.83,4.39,209.01,151.29,35.02,43.45,64.19,85.99,48989211.0,6.9,88.0
2011,Male,12.42,15.97,23427.7,3.65,10.22,27.46,98.22,14.35,9.87,107.68,132.24,28.69,64.67,58.18,49.24,70434574.0,3.92,88.0
2016,Female,3.74,37.47,14179.11,2.63,14.11,35.32,46.23,14.95,5.45,133.23,59.98,37.94,58.01,63.67,74.27,68396179.0,8.8,88.0
2019,Male,2.22,35.4,46328.67,5.2,7.86,113.95,46.69,23.68,6.96,69.5,133.85,38.61,55.22,91.67,88.83,19373465.0,9.31,88.0
2012,Female,5.97,32.82,17749.99,4.99,1.47,52.52,74.99,17.77,8.74,242.78,80.7,35.02,52.04,85.49,66.67,1509334.0,7.5,88.0
2020,Both,9.3,10.56,44741.77,0.28,9.04,33.17,23.92,30.81,10.22,247.08,109.24,35.84,57.79,98.69,43.59,68372214.0,5.33,88.0
2014,Male,8.31,37.31,28941.53,4.94,8.82,61.02,86.06,25.97,5.01,301.55,79.26,31.3,43.17,86.94,68.48,26396757.0,5.54,88.0
2021,Female,14.96,32.09,14656.57,5.93,1.21,49.51,99.78,12.12,4.09,311.47,103.46,31.27,48.15,73.57,71.16,27834066.0,7.6,88.0
2018,Male,8.05,12.79,11047.37,6.2,13.06,88.9,82.01,37.04,11.78,98.02,136.77,39.9,43.12,95.16,58.2,12755744.0,2.0,88.0
2017,Both,10.49,30.92,18375.06,0.66,9.68,115.64,82.53,23.76,5.2,272.91,136.98,27.63,43.15,98.12,77.57,55471281.0,10.67,88.0
2012,Male,11.5,24.34,3013.54,2.57,11.43,73.05,51.23,30.6,8.71,90.41,140.51,40.43,40.53,90.62,60.33,22480703.0,9.85,88.0
2016,Female,2.35,22.57,23663.02,3.49,7.91,72.98,25.27,8.15,8.78,162.11,82.57,38.1,58.9,80.05,91.42,14221774.0,4.05,88.0
2021,Female,10.24,9.48,67725.04,1.6,9.66,46.96,83.41,31.18,7.14,204.66,130.48,42.69,45.68,92.16,85.41,40320920.0,2.0,88.0
2010,Female,7.52,25.73,62487.07,3.48,4.6,69.93,67.77,18.47,4.28,64.84,58.19,30.2,60.8,63.06,86.33,60058231.0,5.82,88.0
2020,Female,8.74,9.0,28402.68,0.75,14.63,41.72,92.75,26.29,3.41,97.03,96.39,35.12,62.61,95.52,66.83,21640928.0,4.07,88.0
2016,Both,3.6,11.57,43526.85,1.08,6.61,5.13,29.28,19.02,6.87,131.33,113.3,25.78,44.21,99.98,43.74,57790916.0,2.0,88.0
2020,Female,14.53,10.3,42898.15,5.42,3.27,104.6,44.41,44.86,7.11,88.26,129.84,43.25,57.72,84.93,80.71,37011811.0,7.05,88.0
2019,Both,17.08,43.16,62292.33,2.25,1.78,54.39,48.85,16.54,9.73,330.23,165.92,38.51,51.51,63.82,34.82,32361441.0,8.44,88.0
2016,Both,2.36,16.39,18332.73,5.75,9.91,61.59,74.66,41.78,9.1,136.5,68.76,37.46,62.97,61.5,66.23,28825717.0,5.19,88.0
2014,Female,11.62,19.21,22791.95,0.58,14.77,14.6,83.02,41.96,11.12,200.35,155.25,39.65,52.11,98.17,33.71,11731919.0,3.33,88.0
2018,Female,14.22,17.88,23192.48,4.59,13.54,101.27,96.88,23.58,11.71,348.96,69.78,30.69,49.47,94.21,66.99,26677438.0,5.25,88.0
2011,Male,6.56,40.93,3832.55,3.25,10.83,24.59,43.63,19.25,9.28,219.99,108.31,37.08,47.36,88.69,78.01,70352197.0,9.73,88.0
2018,Both,14.6,27.52,24149.84,6.42,14.87,52.22,59.49,22.1,2.77,173.45,152.5,41.02,62.59,97.71,59.34,8263137.0,5.81,88.0
2011,Female,12.12,41.77,65941.2,6.31,11.12,101.63,22.32,44.61,6.05,328.94,135.7,26.81,45.65,77.65,59.18,76668171.0,7.86,88.0
2019,Female,16.87,17.0,68469.48,3.13,5.75,57.65,40.24,30.9,8.09,116.75,158.06,44.18,60.69,94.95,38.6,8688973.0,5.39,88.0
2018,Male,17.7,9.59,8934.94,5.06,9.42,112.08,49.92,28.16,7.9,103.85,150.38,42.84,44.85,62.33,51.13,29026328.0,9.04,88.0
2011,Both,2.68,27.25,34787.94,1.97,2.12,29.07,67.5,9.33,3.81,210.61,64.22,44.26,56.08,63.23,61.1,48543863.0,5.59,88.0
2020,Female,9.12,18.82,29096.09,4.73,4.1,87.25,57.67,39.37,7.83,178.19,178.87,41.17,51.28,78.06,90.45,67043528.0,7.55,88.0
2015,Female,10.75,37.08,37110.45,0.83,6.85,117.47,49.16,11.1,5.5,289.1,169.92,30.89,42.62,69.96,92.86,11572267.0,13.12,88.0
2021,Male,4.35,40.18,41960.19,3.59,3.83,68.21,69.93,9.74,5.39,62.6,88.83,36.63,43.15,74.46,96.75,11374068.0,9.17,88.0
2010,Both,7.38,23.9,2303.2,1.63,14.35,84.6,86.29,18.17,10.34,235.32,27.55,27.4,47.04,90.92,37.02,50307412.0,8.92,88.0
2012,Male,17.8,43.85,63294.37,7.09,14.94,50.22,39.33,25.6,6.22,263.2,68.56,40.08,59.17,57.4,50.73,23490456.0,2.72,88.0
2016,Male,2.26,27.12,73045.87,3.67,6.19,91.4,47.43,41.13,7.27,341.58,153.78,28.07,58.22,87.44,62.4,51595718.0,3.63,88.0
2012,Both,9.24,15.84,49282.64,4.81,10.93,109.52,76.39,37.23,7.63,93.73,172.14,42.34,45.13,58.97,74.92,65664598.0,3.94,88.0
2014,Both,15.48,24.56,49805.56,3.01,6.71,85.85,82.24,15.31,7.63,123.87,153.07,29.81,51.91,93.14,79.2,6241954.0,5.59,88.0
2019,Male,7.18,6.49,39976.11,2.45,2.95,112.63,86.03,21.77,4.13,329.73,83.48,28.21,42.42,64.09,85.02,67575080.0,8.45,88.0
2012,Female,9.68,37.16,25603.09,1.78,5.72,72.7,36.75,36.87,7.99,239.19,29.05,26.42,57.9,88.07,64.71,3103070.0,8.96,88.0
2019,Both,17.65,9.06,11854.15,7.31,4.27,71.37,63.14,27.5,5.35,61.41,102.81,39.23,59.83,81.63,68.96,71916212.0,9.39,88.0
2011,Both,9.6,17.35,44137.5,6.44,5.59,40.03,92.0,14.46,8.55,73.2,80.22,28.72,62.34,72.35,97.24,78051890.0,2.0,88.0
2012,Female,4.09,27.61,4134.65,1.24,4.01,86.61,51.36,22.65,3.46,285.63,39.68,28.95,62.14,67.04,46.8,53429671.0,11.7,85.89
2018,Female,2.83,6.72,61978.09,6.02,2.57,106.42,54.39,31.16,11.94,220.24,36.94,28.39,48.45,57.59,86.26,78741999.0,3.35,88.0
2021,Both,17.13,8.17,32031.65,3.46,4.04,79.33,98.79,44.01,9.72,219.62,44.49,31.12,46.36,70.9,79.83,65777148.0,5.79,88.0
2012,Both,6.25,32.84,31574.76,0.32,13.68,31.8,29.04,32.49,6.17,313.96,52.93,43.82,62.41,64.02,39.81,3644803.0,8.88,88.0
2014,Both,10.07,7.87,25076.08,4.32,2.19,67.57,76.45,8.6,5.01,122.33,140.61,34.73,43.65,61.12,94.85,404494.0,4.82,88.0
2022,Female,3.45,24.08,72726.06,1.21,5.55,91.93,88.01,34.09,5.88,98.13,81.07,30.22,41.48,88.23,89.87,1761799.0,4.37,88.0
2023,Male,8.78,18.55,13778.84,1.84,8.4,113.03,32.06,17.28,9.21,234.14,89.91,28.41,47.86,64.56,84.57,36207366.0,8.96,88.0
2018,Both,16.88,14.12,12027.04,5.63,5.96,23.01,77.16,39.9,8.55,314.73,115.74,25.38,59.01,65.04,38.87,49908271.0,4.4,88.0
2016,Both,10.04,12.55,13082.44,2.21,8.25,19.66,57.58,22.2,9.02,129.58,173.62,32.3,57.35,70.32,39.78,38569599.0,5.51,88.0
2014,Both,17.54,35.54,49662.74,7.16,1.61,52.49,88.23,15.39,10.89,254.39,141.04,27.2,64.68,75.82,77.82,54202713.0,3.56,88.0
2018,Male,6.14,43.06,74398.63,5.33,10.08,19.45,92.6,25.31,6.56,95.71,123.31,25.54,48.99,78.12,37.51,36023250.0,3.08,88.0
2018,Male,10.07,10.61,18272.26,6.69,8.89,117.75,89.8,17.44,8.7,101.57,139.01,27.06,46.9,84.9,37.93,3500848.0,5.36,88.0
2014,Both,15.75,43.39,67996.81,5.0,10.53,53.8,25.15,16.73,6.42,320.45,135.09,31.37,49.46,81.48,58.02,18170720.0,5.99,88.0
2010,Male,9.17,28.79,21473.35,6.98,8.94,66.37,80.55,29.21,8.38,85.39,130.44,40.02,59.56,76.68,30.38,79410677.0,5.3,88.0
2012,Both,6.47,30.67,48874.17,3.02,7.13,31.12,93.72,36.39,6.75,57.3,99.43,26.34,45.36,72.73,80.5,27734521.0,4.83,88.0
2023,Female,15.69,33.4,3805.02,4.48,5.9,56.65,69.71,38.89,9.77,282.48,110.7,38.57,63.69,66.96,67.81,26048782.0,8.72,88.0
2015,Both,8.24,33.16,37577.52,4.22,4.17,118.24,68.07,22.71,2.05,158.75,93.84,37.41,52.81,86.95,35.47,12308085.0,11.95,88.0
2016,Both,10.49,37.79,49369.09,7.25,8.0,61.2,23.6,10.47,4.16,169.0,83.19,42.64,59.58,69.29,68.05,78972783.0,8.47,88.0
2016,Female,17.62,24.34,40594.93,1.49,1.36,6.01,88.48,25.91,4.96,289.96,63.32,28.68,60.68,93.23,33.79,18513700.0,5.08,88.0
2020,Male,4.98,26.33,18447.39,4.71,5.6,32.89,23.71,24.05,11.45,103.98,76.83,40.89,51.97,81.38,34.95,51781443.0,6.9,88.0
2010,Female,6.82,17.95,62274.47,6.08,10.49,117.52,45.08,15.29,7.07,245.1,88.56,42.3,58.53,83.53,63.98,3459592.0,3.71,88.0
2011,Female,2.5,9.21,72784.13,3.09,2.52,118.74,94.07,41.16,5.64,144.06,112.7,44.53,49.12,77.9,64.99,5411139.0,3.87,88.0
2013,Female,8.27,31.59,34872.35,6.97,1.88,29.21,95.98,44.04,6.04,81.28,99.98,41.17,60.27,96.79,53.73,57368461.0,4.1,88.0
2016,Female,5.2,6.34,47985.21,3.11,10.13,75.76,99.35,9.91,6.52,256.25,37.27,27.48,60.6,73.97,73.52,50849936.0,2.0,88.0
2019,Both,12.88,16.03,59448.66,1.55,6.57,13.84,58.11,37.44,10.68,145.6,74.4,43.94,54.16,74.21,57.12,54444975.0,2.03,88.0
2016,Female,4.9,8.77,18718.49,4.76,12.23,71.41,34.19,31.89,11.62,309.98,80.19,41.3,45.45,95.19,71.09,18554536.0,2.19,88.0
2016,Male,12.8,12.63,64942.22,3.48,14.12,19.48,59.04,17.67,10.44,325.71,133.11,29.25,64.26,82.22,54.48,78792630.0,2.0,88.0
2023,Female,6.22,30.55,21590.91,0.32,14.4,99.15,28.19,31.5,10.42,304.72,73.26,28.3,63.67,75.21,80.05,44714175.0,10.37,88.0
2012,Female,7.68,30.14,58366.65,0.74,6.96,113.05,89.8,12.76,3.99,146.71,21.27,43.73,55.5,66.8,70.55,77566899.0,8.03,88.0
2018,Male,7.58,21.84,9117.76,1.72,4.7,24.89,64.84,10.57,4.69,120.97,33.49,28.11,64.6,66.03,41.2,13217227.0,9.64,88.0
2017,Male,13.47,8.61,22198.29,6.2,9.52,58.21,52.36,44.76,7.96,317.84,99.52,40.54,52.57,91.06,78.04,32467451.0,3.55,88.0
2016,Female,9.46,22.33,40394.6,7.16,9.79,16.73,26.36,31.55,8.56,185.88,50.16,33.11,49.39,67.58,84.88,26921273.0,2.25,88.0
2021,Male,7.78,19.11,39749.22,4.46,9.71,44.0,52.42,17.37,4.03,262.32,99.14,39.48,51.51,55.26,34.61,60430487.0,4.17,88.0
2013,Both,15.64,33.82,63901.99,1.02,5.5,12.49,89.3,24.65,9.46,298.15,111.87,26.84,41.15,55.88,72.7,59830958.0,3.2,88.0
2023,Male,11.15,28.16,74712.64,4.37,1.89,35.42,76.27,43.15,4.0,133.31,169.35,39.5,53.73,99.03,85.33,38974849.0,4.83,88.0
2014,Male,5.42,24.66,8755.04,6.87,3.94,118.88,26.6,24.23,4.63,85.73,124.89,35.24,56.66,80.19,38.03,1390226.0,12.02,88.0
2017,Both,16.4,24.48,20937.0,6.05,3.16,10.13,32.79,41.32,5.07,237.45,24.97,43.01,42.74,77.01,93.12,14098936.0,5.85,88.0
2017,Both,7.48,43.65,27333.79,2.47,2.73,103.78,51.38,40.15,10.46,227.06,80.92,28.77,46.39,96.3,59.04,4116227.0,9.95,88.0
2021,Male,2.62,35.25,36335.75,1.17,13.97,13.91,28.11,20.73,9.32,131.06,146.95,27.19,58.03,70.83,81.65,67776464.0,3.36,88.0
2016,Male,9.91,24.88,37448.1,7.23,1.19,65.83,94.72,33.75,7.31,225.41,61.69,28.92,59.84,90.77,92.93,23252748.0,3.24,88.0
2013,Male,3.98,24.17,64329.67,6.86,9.43,56.99,72.18,32.44,10.2,287.11,168.0,26.57,64.65,87.48,99.27,9522019.0,2.0,88.0
2010,Female,5.82,6.06,57975.5,0.62,14.26,112.13,27.59,36.53,10.13,155.0,104.64,44.6,46.33,76.47,70.87,28398372.0,3.7,88.0
2015,Female,13.95,42.7,2198.79,6.62,6.04,27.89,83.04,21.54,5.9,122.7,34.79,27.46,61.04,89.86,79.3,6275416.0,7.31,88.0
2021,Male,4.09,17.77,34562.61,0.96,8.38,25.66,49.47,9.93,9.81,267.5,58.67,29.02,44.3,98.46,47.62,78310685.0,3.03,88.0
2010,Male,14.91,15.24,46661.08,0.69,10.74,91.1,39.59,14.33,4.06,285.76,165.01,41.19,43.27,64.03,50.3,25269131.0,8.83,88.0
2022,Female,16.99,44.98,34961.35,6.12,5.44,88.46,65.6,30.81,7.03,336.29,178.63,29.94,58.23,55.79,89.55,74652029.0,9.66,88.0
2017,Both,11.7,33.75,10493.88,4.38,7.69,85.41,21.07,36.68,3.18,94.28,158.08,29.45,51.15,91.97,57.88,54650022.0,11.28,88.0
2011,Female,13.37,6.89,30292.58,3.43,12.44,8.0,57.23,35.97,6.27,316.78,71.31,38.45,59.85,73.16,87.57,45331948.0,2.0,88.0
2014,Female,13.42,7.48,31344.85,7.25,11.43,34.9,87.5,29.6,7.2,279.53,143.01,32.98,47.06,79.5,33.54,38092210.0,4.16,88.0
2017,Male,17.88,6.02,14728.52,6.75,12.32,101.59,94.24,11.14,2.8,260.57,55.56,41.71,45.33,65.01,45.28,55021671.0,8.04,88.0
2014,Male,7.46,28.98,56917.99,0.65,14.82,74.1,47.4,8.64,6.63,143.92,81.52,37.77,53.72,92.88,41.91,54933399.0,7.54,88.0
2011,Male,4.61,7.86,24647.93,5.01,6.18,74.25,71.39,36.94,8.52,56.66,131.55,30.76,42.88,87.45,66.89,940633.0,2.01,88.0
2019,Both,10.31,42.34,44502.86,6.22,11.46,39.03,38.15,28.33,8.14,202.27,175.02,36.96,46.97,97.9,35.64,72631921.0,5.58,88.0
2019,Both,10.53,42.48,39067.18,4.49,9.44,34.92,64.82,36.96,2.54,135.73,90.27,42.33,44.16,76.39,54.07,29500277.0,6.69,88.0
2011,Both,4.85,26.84,65905.09,7.87,10.33,113.85,40.32,14.02,2.95,136.95,99.33,32.29,48.0,98.95,99.04,28326522.0,4.92,88.0
2013,Both,11.81,29.67,9853.51,5.55,11.36,88.69,65.71,23.07,5.51,328.14,55.23,39.73,59.14,77.99,85.6,32586584.0,10.11,88.0
2013,Both,2.23,16.68,9278.32,1.01,11.5,19.59,33.74,42.01,10.43,95.89,84.52,33.32,43.02,82.96,83.24,54854096.0,5.66,88.0
2019,Both,16.84,7.56,23083.72,1.75,13.4,112.84,95.3,14.35,10.7,330.27,30.08,35.86,55.3,85.34,39.46,30143817.0,5.05,88.0
2020,Male,6.23,34.5,32796.15,6.64,5.89,71.97,90.95,10.28,5.1,201.14,157.37,39.67,54.62,77.04,55.52,29969102.0,5.83,88.0
2020,Male,2.63,9.07,22951.83,7.97,10.15,43.34,46.95,32.18,9.19,301.48,23.73,26.21,53.45,80.33,77.64,5170844.0,2.7,88.0
2023,Male,3.73,8.42,57428.48,0.97,4.92,50.67,82.13,30.0,7.77,135.08,129.36,34.1,52.11,65.05,31.51,33389669.0,3.71,88.0
2020,Female,5.84,17.45,18998.73,0.98,9.32,88.42,27.64,43.23,11.83,240.18,63.72,26.9,56.6,71.31,60.38,12043330.0,8.58,88.0
2014,Male,6.38,5.5,7090.29,6.15,11.52,48.27,79.23,41.54,2.95,216.98,96.18,39.5,61.3,86.59,95.0,68461581.0,3.83,88.0
2011,Both,2.52,22.36,31503.95,0.7,12.07,71.56,42.6,35.73,7.48,327.25,65.05,37.16,44.05,56.75,35.76,26827436.0,7.85,88.0
2018,Female,6.47,33.31,58184.74,0.73,6.88,86.71,30.85,8.71,7.93,103.79,84.01,31.54,60.35,86.52,93.44,76873305.0,7.69,88.0
2022,Female,5.09,37.05,63911.7,7.13,8.12,27.47,74.26,25.77,5.08,111.37,107.48,26.53,41.54,68.67,43.62,54793787.0,3.67,88.0
2023,Male,8.06,29.17,55214.19,6.44,5.67,113.59,57.58,41.16,2.47,334.69,122.54,43.52,52.05,67.23,43.24,60516508.0,8.69,88.0
2013,Male,8.16,38.87,42195.19,7.08,3.37,45.96,62.41,24.05,2.52,79.39,170.45,31.3,52.79,86.21,43.68,75825319.0,7.1,88.0
2013,Male,7.42,21.26,54535.02,5.27,4.65,53.23,61.64,43.6,6.54,240.4,73.15,30.51,44.94,64.67,95.19,19190888.0,3.42,88.0
2010,Both,7.25,38.95,51359.1,2.72,13.77,85.33,24.76,32.14,8.92,68.17,113.58,27.02,42.24,98.28,72.26,45426548.0,6.86,88.0
2011,Female,3.44,25.26,18190.0,7.27,5.33,75.01,24.11,12.05,9.0,73.1,164.28,36.55,41.87,99.58,82.56,3353992.0,5.92,88.0
2017,Both,2.4,13.92,41666.31,2.53,14.65,55.61,68.09,26.84,3.81,229.14,66.44,30.31,40.93,75.61,55.65,8150619.0,2.6,88.0
2017,Male,5.23,42.77,57979.21,2.35,4.38,79.72,69.91,33.74,10.58,215.41,158.41,41.86,54.34,73.06,91.13,29390295.0,7.21,88.0
2015,Female,14.11,16.0,24330.35,7.11,11.12,108.83,23.77,10.42,5.77,221.91,173.21,38.66,43.89,58.56,70.74,54631898.0,7.43,88.0
2014,Female,17.85,6.05,49324.81,5.51,9.03,97.03,50.28,20.75,11.64,192.1,155.6,25.08,60.22,90.02,71.99,66552319.0,4.07,88.0
2021,Both,16.86,14.71,36525.85,7.19,10.76,99.79,69.03,34.53,3.18,272.71,111.18,36.31,62.47,62.32,82.66,20586696.0,5.84,88.0
2016,Both,10.07,19.67,38134.39,1.42,10.02,34.72,72.53,13.81,10.36,347.66,135.54,29.64,47.31,96.99,84.15,59951269.0,4.08,88.0
2021,Male,10.51,19.05,7482.08,7.63,10.89,53.23,86.26,20.89,11.08,132.73,96.97,25.31,44.11,99.58,77.73,18020863.0,4.3,88.0
2023,Both,7.03,25.99,50233.31,4.98,13.68,68.69,53.66,33.53,10.23,147.03,115.56,37.39,50.24,60.51,38.32,583843.0,5.19,88.0
2014,Male,14.38,40.33,65033.98,5.41,8.89,10.08,63.86,36.7,10.09,146.91,175.92,29.1,62.04,85.74,90.67,4447601.0,2.0,88.0
